text,label
Každý den nový úžasný obrázek! Dnešní pozadí pro TEENAGER BOYS 30.5.2011: http://www.guglik.cz/teenager-boys/,1
"Uz jsem z nej prezranej ,chtelo by to zmenu ..",0
"Vážený T-Mobile! Až dokončíte to cachování,tak mě vzbuďte....budu nesmírně rád a děkuji předem.. :D",0
To je moje vůně!Mám ji!,2
odstřik za 25kč :-)) to de:-)))),1
že y nějaké překvapení :-)),1
Kolik stojí taková reklama ?,1
"A ty směšné tarify za hlasovky! Jo, chce to nakopat VF do řiti!",0
"milko,vše nej:D-udrž si kvalitu a s cenou nahoru nepospíchej!!!",2
Já to žárlení na mimi čekala - jsou jako my a naše dětičky :-),2
Bounty! Jedině to!,1
"Ahoj, já taky hledám nějaké vyjádření a kdyby mě nenapadl Face, tak nic nevíme!!!",0
Na Můj T-mobile není na výběr,1
ty jsi skoda Jane,1
jděte do řiti!!!!!!!,0
ted nejlepší zadar...... :),1
a to je který? ten uprostřed dole?,1
"tak tohle budu hodně sledovat, jak se k tomu vyjádří, toho pána neznám,ale držím palce",1
"osobně bych tam přidala ještě nějakou zeleninu, třeba salát a rajče a nebo ho dát s brusinkami. takhle vypadá hrozně stroze",0
V devítce k Vánocům (r.2000) Nokii 3310 a to v tej době stála přes desítku. Dneska už se tomu směju.,1
zajímavý snímek a ještě k tomu krásný,2
Děkuji moc a krásné svátky přeji.,2
"Co je pravdy na tom, že je to jen polovina představení?",1
žeby párty pro 4000 lidí?? :-),1
"Já se ale neptal na vyhlášení, ale na předání :o)",1
nejlepší je višnová a malinová :-) <3,2
kiezby len tolko bolo stupnov..:),1
"jenže je to daleko, ach jo :(",0
držíme pěstičky....,2
McDonald jde do sraček....ale čechy potěšíte ty nežerou nic jinyho než sýr ve všem jako smažáky :D fuj :D,0
Třeba a kdyby byli raci ryby :)),1
já podporuju vánoční višnovou... proste jen višnovou žádnou jinou ani clasic ani bilinka ani bez cukru prote jedine VIŠNOVOU!!! :d,1
"v tom případě by to chtělo protáhnout datum, do kdy možno hlasovat ;)",1
Vodu z vodovodu dát na tři minuty do mrazáku. Osvěžující a skoro zadarmo.,1
A kdy přijde na řadu Dvořák ? Tím bych začal.,1
"Mám, poslední. Pošlu ;-)",1
"Sice máme volno hlavně díky jeho bráchovi, ale to neva;-)",1
"A mimo to,chudak martin,jak kdyby za to mohl on:D",1
a.........kdo my na ní dááááá,1
"když mi něco berou, tak to vždycky bolí :) nevěřim ... mandle, zub, bradavice, končetiny, ... :-)",1
no je čas zase navštívit zoo :-),1
Děkuji za odpověď.,2
"no to je něco nádhernýho, žirafátku přeji do života jen to nejlepší !!!",2
"O2 CZ : Měla bych dotaz, jaký je maximální počet bodů, kterého se dá dosáhnout? :) Děkuju",1
Napsal jsem tak prosim o odpoved. Dekuji,1
Puntíček a Šmudlíček:D,1
"Dobrý den, rád bych se zeptal, zda je ve Vodafone Parku nějak omezen počet sms jenž lze najednou odeslat. Díky za odpověď.",1
Díky moc. :-),2
T-Mobile> Tak co bude? Cela tahle diskuze ani reakce ostatnich vas nezajimaji?,0
Eterický spot..,1
"No, pořád si říkám že jsem asi měkká, že ještě vydržím, dám jim čas do 12h, jinak píšu na ČTÚ a bude zle!!!",0
"Má správnej kukuč :) Mně se líbí... :) Morrisi, těší mně, že tě poznávám, snad se uvidíme i naživo :)",2
no jo abyste se z toho sponzorovani neposrali,0
Kazdův Dvům mohu také jen doporučit všem. !!!!,2
"Raní Věro, máte moc hezké fotky.",2
"super, díky moc, chybí mi jen modrej náramek, tak snad budu mít štěstí :-)",2
"(a hlavne, o co tu šlo... rozhodně je zbrzdí méně než snacky)",1
U mne naopak dělání probouzí smutek.,1
Přesně tak. Tak kdy začneme?,1
kyby mi ho radči dali,0
"Lenko, takže microSim aktivována. Pokud tam ještě jste, můžeme to dořešit hned.",1
co je Hruška? Akce nebo obchod?,1
surfuju a koukam jestli tu nekde nekrouzi cetnik...,1
vymente personal v čb a pak možná příjdu,0
příjemná vůně ....,2
Kašlu na to stejně je nezajímám kašlu na ně du pryč,0
"Dobry den, kdy je mozne ocekavat slibovanou akci na let ve vzdusnem tunelu ? :-) Dekuji za info.",1
Kofolu si dám i bez výjimečného datumu :-D,2
"doporučuji, přítel má a nemůžu se té vůně nabažit!",2
nj nejlepší 3G má asi vodafone ;) takze si nestezujte a bezte k vodafonu kdyz vam o2 nevyhovuje,1
Ať se daří. <3,2
Jak zruším denní horoskop?děsně to žere peníze,0
"Už to frčí, děkuju.",2
"Moc děkuji za odpovědi, já píšu na všechny strany, ale to jen proto, že mám takovou radost, že Gulab můžu ještě vidět:-)Tolik času uteklo...",2
"Pražská ZOO má letos samý úspěch,tak ať se podaří :D",2
Je to strašná škoda a tragédie. Přeji upřímnou soustrast !!! !!!,0
Dobrý den mám telefon Samsung galaxy mini a nejde mi tak jazyk v českým jazyce jak ho můžu nastavit? moc děkuji :),1
"jj ty černý vypadaj sexy, ty bych si na sebe klidně vzal...",2
"u mě ještě žádný víkend, ještě se pracuje! :)",1
nazval bych to spíš než troufni si na jemnost tak troufni si na to ať ti funguje aplikace,0
I s ledem je to tak 80% vody a 20% přeslazenej sirup. Odpovím ti za ně.,0
"ač do toho nevidím, pochybuju.",1
Taky mi to píše... nevim co stim :/,0
legendární reklama :),2
Díky. Radši Subway.,0
"Slevomate..kde jsou starší fotky..teda pokud jste je sem dali,ale kredit jsem měl připsaný..předem díky za info!!!",1
oni nahravaji vse ale vytahbou nahravku jen kdyz je to pro nevyhodne,0
"nechápu, proč nedáte odkaz přímo do Play...",0
"Sakra ... jsem musel byt asi tezce sjetej, kdyz jsem dal LIKE na tuhle stranku ^^",0
Jo to mi tak pak došlo:)...takže ještě jednou díky....čau,2
tohle je nej nej oblíbenější vůně mého muže a já ji můžu též ;-) :-P,2
"Chtel sem si jen objednat internet na mesic.. Ale uz to resim u konkurence :( Děkuju za pochopení, Petr (Zákazník a po letech zklamanej)",0
Myslim ze tata je vhodnejsie,1
Měli byste prosím nějakou fotografii cykasů z Indonéské džungle zblízka?,1
"Myslím, že v případě českých operátorů by otázka měla znít spíše – Proč prodáváte svoje služby za 10násobek ceny? Ne desetinu…",0
Všechny restaurace v tom seznamu nejsou. Karlovy Vary I fajn menu také nabízí a v seznamu chybí.,1
"Dobrý den, na mobil mi přišly nové kupony na květen. Tady jsou stále staré dubnové. Děkuji za reakci ..",1
"...no konečněěěě!!!brácha ho prostě vytáhl ven, hurá :o))",2
Dobrý den. Já si telefon objednala v sobotu večer a v úterý mi byl doručen. Takže do dvou pracovních dní... a bylo to tak vždycky.,1
někdo o to třeba stojí.,1
"krásná vůně, až budu mít zbytečný penízky, tak si ji zase pořídím :-)",2
no mozna by to bylo lepsi kdyby si to udelal ty ...,1
"Mam velkou radost, ze jste Martinovi umoznili prozit krasne prazdniny :-)",2
hezky :) oni to logo vymysleli nakonec dobře - koník by se sem dával blbě :-D pro úspěšnost s logem :-D OSTRAVA!!! :-D,2
Tak to je vážně super nabídka!!! Lepší jsem jinde neviděla. Už se těším na další akční ceny :-),2
JEŠTE K TOMU 100m od náměstí I.P. Pavlova,1
V pěti stupních? :D,1
A za jak dlouho od aktivace (popř. změny na jiné číslo) bude služba aktivní?,1
já taky a i dítko se šlo podívat z postele.... gratulujeme!!!,2
pozítří podle pravidel končí soutěž a pořád nic :/ :(,0
Vodafon je pro mě nespolehlivá firma:(((((,0
ta už je teda pěkně veliká! :),2
I já jsem dostala kytičku od dcery...,2
"jste na fanouškovský stránce Kofoly a píšete tu, že radši pivo....jste divný :P :D",0
"Myslím, že už jste to fakt přehnali! Pro mě FUP je to nejsprostější slovo, mnohem sprostější, než to předešlé!",0
"Bohužel nevím chut ani jednoho druhu, natož více. Při váze 80kg :( se snažím sladké nejíst. Ale obaly jsou lákavé :)",1
"Christina parfem mám ráda, taky ho používám... posílám paleček :o)",2
"Pokud někomu zbylo, potřebovala bych co nejdříve 5 bodů, dotyčnému ráda pošlu na oplátku 5 čárových kódů.",1
"Dobrý den, mohu si TV duo kartu objednat dodatečně, nebo jen s aktivací TV T-Mobile? Děkuji.",1
Už jsem doma! :D,2
tím jste mi ale neodpověděli na otázku proč máte na každé prodejně jiné ceny....,0
tak co bude s tím mobilem od Samsungu? Budete ho nabízet nebo ne?,1
"to vipadá jak ručník, ale je to rozkošný !!! =) ♥",2
už mám dokonce všechny nakoupené :D xD,2
Kde sezenu takovy pullitrovy dzbanek? :-),1
"Proč zvyšovat FUP, když takto je pryč během dne a zákazník si může vesele dokoupit další.... Ale hlavně, že to bude rychlé.",0
jak pro koho dobry.. ja si tam objednala zajezd.. a nikam sem nejela a penize jsou fuc... TAKZE OBLOZ....:(,0
"Ano, je pravda, že zatím nejsou vypsány termíny.. až v březnu",1
TAK PROČ JSTE MI MMSKU Z PARKU ZAÚČTOVALI? :-( když byla v síti? :-(,0
hradec není v plánu ??,1
"Pro operátory je význam slova ""mobilní"" to, že se můžu připojit od tam, kde bydlím, nikoli, že se člověk může s připojením pohybovat :-)",1
"Martine, vy jste pražák? Tak to jste měl říct dřív, teď už mi je jasné proč jste neschopný. :-)",0
Hezký a jednoduchý...:-),2
"Byl bych vděčný za tu nevděčnou roli zdejších operátorů, zda by to byli ochotni okomentovat, resp. vyjádřit stanovisko operátora. :)",1
"to jako musí být důvod pro to, dát si kofolu?",1
Snad už bude krásně abychom mohly zase celý den strávit v krásné zoo:-)),2
Dobrý večer klikam jak blazen 2 hodiny a nic,0
tak mě přesvědčte že to není pravda? vyfoťte děti ve školce s tabulkama? to ne co?,0
mnam to bych si dala.Milka je nejlepsi!,2
"v Brně nebo v Praze proč tak "" daleko "" ? jsem z Valašského Meziřičí, ...",1
"nezablokuje se, pouze se sníží na 0 kbps :P",1
"Sokolská 1555/19 ,Praha 2 -Nové Město",1
mela jsem dnes jednu ;),1
Přátelé z T-Mobile... je to tragické!!,0
myslel jsem v podobě zasílaného na moji poštovní adresu,1
Včara jsem zde zadával dotaz a byl smazán proč??...:-(,0
"Podle mého muže mám asi 20litrů krve, miluju ho( burčák) :-)",2
+ telefon mám po kladném posouzení servisu na pobočce i s platným záručním listem.,1
Já bych nutně potřebovala sehnat šedou pumu co se už nevyrábí..nemáte ji někdo a nepoužíváte ji ..koupím:o))),1
"berete i na částečný úvazek? vaše nabídky práce se mi líbí, ale potřebuji to skloubit se školou a to s plným úvazek nejde :(",1
"Ano, syn je s vámi v jednání a uvidíme co nabízíte za řešení.",1
balkánská specialita: pečený plátek bramboru s balkánským sýrem a tři karboše ve stylu hambáče,1
to je dobrůtka....pěkně s čokoládou:),2
"děkuji, určitě si objednám",2
ted ji zavidim mam chut na meka xD,1
"Hezký web, jen bych udělal tlačítko e-shopu trochu výraznější, chvíli jsem ho hledal (neberte to jako rejpání :) ).",2
Prodloužil jsem před 2 měs. - jaký pro mně máte vánoční dárek ?,1
"Kofolu, jedině kofolu...",2
Konečně něco pro rumovou vílu :-P,1
Aplikaci Užvímproč :-D,1
Je to smutný:-(,0
Snad si ji brzo konečně koupím :-)....,2
"Hip hop je otřesná hudba, jestli se dá vůbec Hip hopu říkat hudba.",0
Ono často na ceně tolik nezáleží a levnější výrobky jsou kvalitnější.,1
To je fakt srandovní pták :-))),2
"Opravte tu sms bránu vy tydýtové. ""Captcha does not match."" naskakuje pokaždé, natočím video kdybyste náhodou nevěřili.",0
ona je bohyně a ten parfém nemá chybu!!!,2
Tak děkuju...,1
"úžasná kosmetika,mám jí oskoušenou a všem vřele doporučuji.",2
nejlepší kofola je s guaranou :),2
"děkuju vodafonu že mi neodepisuje ve stylu O2 ""Ano, když vám Vydrák volá z ciziny, platí 3,90,- a vy nic.""",2
chystáme se zítra:O,1
"Pane Štraube,Vás také za každý omyl či nevědomost trestají?",0
máme toho ještě hodně před sebou :o)),1
"Jedna z mála kvalitních, sledovatelných reklam :) Díky za ni :)",2
To je pohoda!,2
9% 10 lískových oříšků,1
lambo na celý měsíc nebo dovolenou v Karibiku--)),1
Při mém štěstí bych to chtěla dostat darem:-D,1
i am žízeň !!!!,1
"samo, to je zbytečná otázka :D",1
"panežo myslíte ,že jím stojí za to tam dát o hambrugra míń????stjene z toho nic nemaj",1
"a když nahraji novou fotku, tak těch 22 bodů se mi spojí s tím novým profilem?",1
"Úžasná,miluju ji:))",2
V TV standart například chybí kanál Film+. Nenašla jsem programovou mapu. Máte v nabídce nový sportovní slov. TV kanál? Dílky.,1
Krasavice krásná!!!,2
"nepatri,maji je mit schovany v kapse treba,aby kdyz se neco stane tak mel jsi rodice informovat..",1
"Proč Vám trvalo týden než jste moji recenzi v soutěži O2 ideální místo, schválili?",0
a ještě bych se chtěl zeptat poslal jsme žadosti 4 kamarádu a všecí to potvrdily ale aktivoval se mi jenom jeden,1
úplně jiné jednání s O2 guru... naprostá spokojenost... díky,2
jejda ne frýdek-místek je jedno město,1
Mám stejný problém.,0
"Taky bych to rád vědel, počítal jsem to, že jsme asi 95 :) (mail: spergy@seznam.cz) :D",1
"A ten, kto je doma, nech ide do baru :P",1
pokud mi je pošlete tak budete hodná :) předem děkuji.,2
Nejbolíbenější? Cítím se bolíben a zmetan :),1
a co v český lípě???,1
WP dlaždice :D,1
"Pochybuju ze kdyz nekdo bude lemtat kofolu, tak ze bude takhle stihlej. PS: tohle a Miss?? :D good joke!)",0
"Petře vygenerujte si ho znovu na m.o2.cz nebo tady v aplikaci,dostanete ten samý",1
Nádherná vuně mám ho doma a jiný už nechci :),2
aky su zlatucky,2
"Prosím prosím , budou sobíci v Hodoníně a kdy ? Tohle je hodně tajemná soutěž .",1
a mimochodem bondovi je snad jedno jekej má tel stejně je bud postrácí nebo rozfláká :D nechal bych ho volat z budky :DD:D,1
Už někomu něco došlo?,1
"Prosím, kde mají ty záložky:-), já to tady hledám a furt nic...",1
"Pátek, Catherine, Mezinárodní den bez masa... stále mají nějaký dobrý důvod pokračovat,? (Přeložil(a) Bing)",1
"Nasrat a rozmazat! Včera jsem si dal třetinku ve skle za 28 Kč, jste se posrali ne? To si dám radši půlitr piv!",0
ja posílala 3.9 a 6.9 a pořad nic,0
"Odesláno, vyplněno :) (zrušit hlasový automat, spojit s člověkem :)",1
"že by to byla švestková náplň? Švestky když se vaří,taky se táhnou...:-))a když jsou švestky v tekuté podobě,to se zase táhnete vy:-))",1
"voucher se dá hravě stáhnout na stránkách slevomatu, když se člověk přihlásí ...",1
"Tahle stránka je hrozná ;) jasně,že jsem dnes v MC byl dneska na cheese, ale kdo tohle vede mě zajímá?",0
"Dobry den mam prosbu,pritel je v cizine a nejdou mu odesilat smsky ze zahranici ma predplacenou kartu.Je mozne to nastavit tady z cr?",1
děkuji za info :-))),2
Robin a co máš ty?,1
Honzík Škubánek: Ber to z nadhledem!! :D McDonald je Tak na stejné ůrovni!! :D,1
Sám a musím říci že teda nic moc...,0
"Taky mě to štve, že někteří tam mají už milion kliků,a kde my to máme shánět, ach jo.",0
ten opravdu nemá chybu :-),2
Dobrý večer chci se zeptat proč jste mi zrušily 50% slevu na vždy ? Zkoušel sem vám volat ale po dvaceti minutách sem to zavěsil.,0
pěkná vůně-pro ty co mají rádi energickou svěžest -sama na ní občas ujíždím-doporučuji,2
"žije, vylezla právě :-)",1
MC je nejlespi rychle občerstveni co je hned po skole tam pujdu na pikanta,2
a pudu páč mě bolí záda jak sviňa :-),1
"Zdravím, jsem ve stejné oblasti a teď jsem naměřil 21,59 kb/s, http://rychlost.cz/rh/20122516892-6854cbe5b4.html .",1
"ne, stále ta stejná jména",1
"miminko nás napíná, že by večer bylo další velké čekání jestli už? :)",1
"takovou ""skládku"" bych ráda potkala :)",2
"ale ne tip, jak tam propašovat sebe :-D - hezký den parfémácký týme :) - ňufám na sobě xparfemackého ježucha a je mi hej :)",1
"tohle logo vypadá zajímavě, i když jsem se nejdřím musela rozkoukat... ale je super... proč nepostoupilo????",2
"a lepsi bezce, cekal jsem ze borci z parkuru nebudou chyceni po 5 minutach... :/",0
kofola jedině točená,1
To je Reklama! PS: kolik za to dostáváš XD,0
Ten je kouzelnej :-),2
je pustevny.. :),1
@Hana Bodláková 100kč? kolik vážíš? 150kg?! :D normální holka nezvládne ani 3 chickeny ;D,1
"já ještě nevím, u koho skončí :)",1
"Dobrý den, zajímalo by mě kdy zase budou iPhone 5 naskladněny. Předem děkuji za odpověď.",1
Rek bych ze mekac trosku nezachapal tvoji otazku :D,1
hm.. už se tam těším :),2
"nesnáším zimu,úplně ubíjí",0
Nechcete taky opravit vysoký ceny a bordel během převodů smluv a telefonních čísel?,0
zkoušel sem to už mnohokrát... bez účinků :D,0
"To to ten mrňous vzal pěkně hopem ;-) Tak mrňousku, hodně štěstí a zdraví do života :-)",2
"Proč končí kolo štěstí? Já tak rád točil, je to škoda...",1
taky tohle řeším.. nevím kam tam strcit simku... mam uplne stejnej tablet...,1
Dario: Tak to udělej,1
Naštestí nemam ale popravde je to pítchovina mohly by tam davat něco rozumnyho,0
i já bych ráda kroužek pro dospělé :-),2
"to víš za blbost se platí, mám vodafone a jsem bez starostí ;)",1
"já jsem si večer dala 4 presíčka a ted nemůžu spát, prostě debil no :D",1
"Richarde, čekala jsem více jak týden, na pracovní dny 7.",1
me tam padnu telefom ale asi ho nikdy neuvidim,0
Ivano přítzele už nepotřebuejte když byla města odtajněna .D,1
"Ahoj proč nám rušíte kolo štěstí? Kde pak budeme číst ty věčné ""Dnes to nevyšlo""? :)",1
Jestli mi teď hodíte nabídku na Sicílii - tak mě vážně naštvete :-D,1
"Do vlastni site by to melo byt zadarmo a ne se chlubit, ze to stoji 7 korun :D To je spis ostuda :-)",0
"mně je,20 kreditů,pak se zarestrijuš a ukáže se ti to,ale nevim,kolik je korun za dvacetpět kreditů",1
no mě jen štve že to nemají rozdělené dostanou hromadu a je jim jedno jestli někdo poslal dřív nebo ne.,0
"Barbora je prostě jednička....,velká gratulace :-)",2
¨no jen jeslti udělají lepší tarif nežli máte Vy jeslti se přizpusobíte ??,1
to je krásné,2
"Vypadá to, že vám nejde web :o(...",0
Moudrá slova :),2
Moc pěkné...gratuluji k další restauraci...:-),2
ááááááá Vojta dělá žraloka .......:D,1
"to jo nemělo by to být jen pro místní pražáky,ale i pro ostatní...",0
"ty vaše popisky akcí mě dostávají. jsou super a kdo to vymýšlí, tomu dávám palec nehoru",2
kde jsou například informace o televizi???!!!,1
Odkdy je kofola průhledná? :D,1
Prdlinky hlavně miuju zebry <3,2
tohle je nejlepší v celém Mekáči. prostě božíííí,2
patriku zajima me jestli ty slevi s inkartou jsou jen pro tarify nabito nebo i pro ostatni tarify:)?,1
"Také mě to dostalo, hned jsem si složila pár písniček, vtipné",2
"na film nepůjdu, recenze mě od toho odradily.",0
"Připojuji se ke gratulaci přírodovědného centra, jen tak dál je to úspěch ať se vám dráčci vylíhnou všichni a zdraví. :)",2
to vypadá lákavě :-),2
"Tak teď jako kvůli vaší chybě přijdu o 2 dny internetu a nebo 10 minut volání? Fakt supr :-( Nebo to nastavíte znovu, když je to vás bordel?",0
Jak dlouho cca tam to oznámení bývá? Aspoň 15 min.? :-),1
"Jdu si do trafiky pro simku konkurence, už mě to přestává bavit.",0
můj nejoblíbenější...,2
Dal jsem si po půl roce Kofolu... No prostě je nejlepší!,2
"miky nejvíc bolí, když musíš přemyšlet, aspoň mi blondýny to známe moc dobře.",1
Tak me si asi vychutnavaji - 4mesice tam u nich rusim mobilni internet .. no az to skonci tak budu mit zivot o neco krasnejsi :-),0
proč myslíš?,1
u nás zvonil pošťák s balíčkem,1
Také přeji celému týmu Slevomatu příjemně a ve zdraví prožité Vánoce a šťastný nový rok. Už s těším na spoustu skvělých a nových slev :-),2
celkem hnusná...,0
řekl bych hroch :D,1
"Tak to je škoda,že odešel.Přeji mu hodně uspěchu.",1
už se těšim až se na ně pojedeme podívat,2
"je to soutěž o deku, tak jaký vzorce... :-)",1
už semi veze domů !!!,1
"to nejsou podvody ale chyba ve hře, stačilo držet šipku nahoru a lyžař pořád letěl, takže asi tak",0
Kureci hlavy ve strouhance s houskou - no chutovka :/,0
tam je vše přehnaně drahé :-( hlavně ty bundy to je megální,0
Někteří lidé dnešek nazývají Valentýn. Já dnešku říkám úterý.,1
"žádné, telefon není na hraní",1
jak u blbejch na dvorku no dobrá soutěž lidi sem nahnaly ale ceny jim zůstanou...dobře to vymyslely :(,0
Chyba při zveřejňování to mi piše ked pošlem na zeť Nelze poslat na uživatelovu zeď,1
Ale že to tak pěkně vychází. Ze soutěže asi nic nebude. Musím odpoledne pracovat,1
"Slevomate, odpoví ještě někdo na dotazy u akce http://www.slevomat.cz/cs/sleva/2804...???",0
Neni lepsi dovolena kdyz na tyden vypnu mobil..,1
spíše bych potřebovala něco aby to šlo jak na nokii 300 tak i na samsungu y,1
"pokud nebude paušál vyšší než 200,- Kč. Jsem radši, když si zaplatím co provolám a proesemeskuju.D.",1
"Mají systémový výpadek, vydrž",1
dneska mám naládu na pepsi kolu :/ :/,1
Pan kofínek :D,1
Dobrý den chtěla jsem se zeptat kolik stojí internet v mobilu na jeden den u Vás je to pro dceru 16 let děkuji Vám předem,1
"Dobrý den, kdy se prosím v ZOO spouští provoz lanovky?",1
A kolik stojí ten hrad?,1
Nejdebilnější kecy kytaráků!!,0
"FUP 2 GB za 333,-Kč :-)))))))))))))))))))) už dlouho mě tak nikdo nepobavil",0
už to maká..jde se pracovat,1
"Tato stránka je mi ukradená, nevím, proč jí tam mám.",1
...prokletí všech výčepních...:),1
škoda že stažením této aplikace mám 40% FUP v háji,0
Taky bych raději Podolí!!! :-)),1
to se někomu zase povedlo myslím že 80% lidi naletělo než si přečetli komentáře :),0
nemá někdo H a E ??? Prosím,1
vše nej a ještě více dobré čokolády :-),2
"Jasná věc. O2 výhody jsou super. Byl jsem ve Sportisimu, C&A, Mc'Donald's a lékarně pro vitáminy na zimu :-) Jen tak dál pokračujte.",2
to je nejlepsi proste:D,2
Jo jo. Zažila jsem rybičky na vlastní kúži v moři.,1
Kdo si mě chce přidat do přátel a vyměnit fotku do soutěže crispello? Tak si také můžete přidat Tomík Ryšánkůj A Věruška Hynštová :),1
"Jindro buď v klidu,protože i my tady jsme bez signálu!!! :-(",0
též by mě zajímalo :-)),1
překrásný flakon,2
no ja jsem pro ten Rum :D,1
NÁDHERA!!!!! Už se zas těším do ZOO....,2
